阿拉伯语,ara
爱尔兰,gle
奥克,oci
阿尔巴尼亚,alb
阿肯,aka
阿拉贡,arg
阿姆哈拉,amh
阿萨姆,asm
艾马拉,aym
阿塞拜疆,aze
阿斯图里亚斯,ast
奥塞梯,oss
爱沙尼亚,est
奥杰布瓦,oji
奥里亚,ori
奥罗莫,orm
波兰,pl
波斯,per
布列塔尼,bre
巴什基尔,bak
巴斯克,baq
巴西葡萄牙,pot
白俄罗斯,bel
柏柏尔,ber
邦板牙,pam
北方萨米,sme
北索托,ped
本巴,bem
比林,bli
比斯拉马,bis
俾路支,bal
冰岛,ice
波斯尼亚,bos
博杰普尔,bho
楚瓦什,chv
聪加,tso
丹麦,dan
德,de
鞑靼,tat
掸,sha
德顿,tet
迪维希,div
低地德,log
俄,ru
法,fra
菲律宾,fil
芬兰,fin
梵,san
弗留利,fri
富拉尼,ful
法罗,fao
盖尔,gla
刚果,kon
高地索布,ups
高棉,hkm
格陵兰,kal
格鲁吉亚,geo
古吉拉特,guj
古希腊,gra
古英,eno
瓜拉尼,grn
韩,kor
荷兰,nl
胡帕,hup
哈卡钦,hak
海地,ht
豪萨,hau
黑山,mot
吉尔吉斯,kir
加利西亚,glg
加拿大法,frn
加泰罗尼亚,cat
捷克,cs
卡拜尔,kab
卡纳达,kan
卡努里,kau
卡舒比,kah
康瓦尔,cor
科萨,xho
科西嘉,cos
克里克,cre
克里米亚鞑靼,cri
克林贡,kli
克罗地亚,hrv
克丘亚,que
克什米尔,kas
孔卡尼,kok
库尔德,kur
拉丁,lat
老挝,lao
罗马尼亚,rom
拉特加莱,lag
拉脱维亚,lav
林堡,lim
林加拉,lin
卢干达,lug
卢森堡,ltz
卢森尼亚,ruy
卢旺达,kin
立陶宛,lit
罗曼什,roh
罗姆,ro
逻辑,loj
马来,may
缅甸,bur
马拉地,mar
马拉加斯,mg
马拉雅拉姆,mal
马其顿,mac
马绍尔,mah
迈蒂利,mai
曼克斯,glv
毛里求斯克里奥尔,mau
毛利,mao
孟加拉,ben
马耳他,mlt
苗,hmn
挪威,nor
那不勒斯,nea
南恩德贝莱,nbl
南非荷兰,afr
南索托,sot
尼泊尔,nep
葡萄牙,pt
旁遮普,pan
帕皮阿门托,pap
普什图,pus
齐切瓦,nya
契维,twi
切罗基,chr
日,jp
瑞典,swe
萨丁尼亚,srd
萨摩亚,sm
塞尔维亚-克罗地亚,sec
塞尔维亚,srp
桑海,sol
僧伽罗,sin
世界,epo
书面挪威,nob
斯洛伐克,sk
斯洛文尼亚,slo
斯瓦希里,swa
索马里,som
泰,th
土耳其,tr
塔吉克,tgk
泰米尔,tam
他加禄,tgl
提格利尼亚,tir
泰卢固,tel
突尼斯阿拉伯,tua
土库曼,tuk
乌克兰,ukr
瓦隆,wln
威尔士,wel
文达,ven
沃洛夫,wol
乌尔都,urd
西班牙,spa
希伯来,heb
希腊,el
匈牙利,hu
西弗里斯,fry
西里西亚,sil
希利盖农,hil
下索布,los
夏威夷,haw
新挪威,nno
西非书面,nqo
信德,snd
修纳,sna
宿务,ceb
叙利亚,syr
巽他,sun
英,en
印地,hi
印尼,id
意大利,it
越南,vie
意第绪,yid
因特,ina
亚齐,ach
印古什,ing
伊博,ibo
伊多,ido
约鲁巴,yor
亚美尼亚,arm
伊努克提图特,iku
伊朗,ir
扎扎其,zaz
中古法,frm
祖鲁,zul
爪哇,jav
中文(简体),zh
中文(繁体),cht
中文(文言文),wyw
中文(粤语),yue
塞尔维亚语（西里尔）,src
阿尔及利亚阿拉伯语,arq
保加利亚语,bul
